character,centrality
Wanda Maximoff,0.1804067689
Bruce Banner,0.2651154548
Nebula,0.1741501162
Sif,0.05153190334
Bucky Barnes,0.1632690314
Tony Stark,0.3105114614
Clint Barton,0.2644405625
Steven Strange,0.02295661419
Drax,0.1044971495
Natasha Romanov,0.2943749304
Gamora,0.0954601608
T'challa,0.1625824778
Luis,0.01633595115
Happy Hogan,0.07071424915
Odin,0.04419738954
Nakia,0.01135697216
Dr. Hank Pym,0.03784609879
Rhodey,0.1906651755
Janet van Dyne,0.01633595115
Thaddeus Ross,0.01991003777
Mantis,0.09374751237
Thor,0.2868243364
Sam Wilson,0.2113305103
Wong,0.04181326933
Yondu,0.04888766662
Howard Stark,0.0639297602
Peter Quill,0.05990217573
Vision,0.1576448774
Carol Danvers,0.156630739
Maria Hill,0.1568633255
Pepper Potts,0.08923350595
Rocket Raccoon,0.2169470793
Nick Fury,0.21455332
Scott Lang,0.1960136613
Loki,0.1657520537
Peter Parker,0.05682034366
Phil Coulson,0.1049979007
Heimdall,0.08440704689
Steve Rogers,0.2861400853
